Rank,TeamID,BestSpec,AverageSuccess,SuccesswGrounding,SuccesswoGrounding,UnderstandingScore,AppropriatenessScore,Turns
1,1,Submission5,74.8,70.2,79.4,4.54,4.47,18.5
1,2,Submission1,74.8,68.8,80.8,4.51,4.45,19.4
3,7,Submission4,72.3,62,82.6,4.53,4.41,17.1
4,6,Submission1,70.6,60.8,80.4,4.41,4.41,20.1
5,3,Submission3,67.8,60,75.6,4.56,4.42,21
6,4,Submission2,60.3,51.4,69.2,4.49,4.22,17.7
7,5,Submission2,58.4,50.4,66.4,4.15,4.06,19.7
8,9,Submission1,55.2,43.2,67.2,4.15,3.98,19.2
9,8,Submission1,35,26,44,3.27,3.15,18.5
10,10,Submission4,19.5,6,33,3.23,2.93,18.8
N/A, Baseline, Baseline, 69.6 ,56.8, 82.4, 4.34, 4.18, 18.5
